lga_code,lga_name,state,population_2024,births_2024,tfr_2024
35600,Murweh,QLD,3992,49,2.09
35670,Napranum,QLD,943,19,2.92
35740,Noosa,QLD,59274,370,1.59
35760,North Burnett,QLD,10482,90,1.84
35780,Northern Peninsula Area,QLD,2928,65,2.52
35790,Palm Island,QLD,2287,96,3.22
35800,Paroo,QLD,1729,28,2.47
36070,Pormpuraaw,QLD,647,18,N/P
36150,Quilpie,QLD,709,10,N/P
36250,Redland,QLD,170225,1524,1.80
36300,Richmond,QLD,788,10,N/P
36370,Rockhampton,QLD,85334,1024,1.88
36510,Scenic Rim,QLD,46036,408,1.98
36580,Somerset,QLD,26579,275,2.16
36630,South Burnett,QLD,34745,350,2.17
36660,Southern Downs,QLD,37820,323,2.09
36720,Sunshine Coast,QLD,375328,3486,1.57
36820,Tablelands,QLD,27630,221,2.10
36910,Toowoomba,QLD,184377,2100,1.84
36950,Torres,QLD,3495,59,2.04
36960,Torres Strait Island,QLD,4289,111,2.58
37010,Townsville,QLD,204541,2454,1.74
37300,Weipa,QLD,4281,80,1.91
37310,Western Downs,QLD,35285,483,2.36
37340,Whitsunday,QLD,40744,389,1.48
37400,Winton,QLD,1141,9,N/P
37550,Woorabinda,QLD,1098,20,N/P
37570,Wujal Wujal,QLD,301,5,N/P
37600,Yarrabah,QLD,2659,72,2.80
39499,No usual address (Qld),QLD,N/P,N/P,N/P
39799,Migratory - Offshore - Shipping (Qld),QLD,N/P,N/P,N/P
40070,Adelaide,SA,29118,126,0.57
40120,Adelaide Hills,SA,42368,374,1.77
40150,Adelaide Plains,SA,11302,139,1.94
40220,Alexandrina,SA,30887,189,1.69
40250,Anangu Pitjantjatjara Yankunytjatjara,SA,2654,38,1.37
40310,Barossa,SA,26590,203,1.57
40430,Barunga West,SA,2672,16,2.20
40520,Berri Barmera,SA,10747,98,1.96
40700,Burnside,SA,47810,265,1.14
40910,Campbelltown (SA),SA,57988,553,1.34
41010,Ceduna,SA,3744,45,2.34
41060,Charles Sturt,SA,129196,1327,1.43
41140,Clare and Gilbert Valleys,SA,9417,89,2.07
41190,Cleve,SA,1757,12,N/P
41330,Coober Pedy,SA,1526,12,2.22
41560,Copper Coast,SA,16299,117,1.96
41750,Elliston,SA,1053,12,N/P
41830,Flinders Ranges,SA,1671,10,1.80
41960,Franklin Harbour,SA,1359,14,N/P
42030,Gawler,SA,27182,298,1.79
42110,Goyder,SA,4135,34,1.97
42250,Grant,SA,9140,85,2.09
42600,Holdfast Bay,SA,39308,252,1.21
42750,Kangaroo Island,SA,5167,46,2.18
43080,Karoonda East Murray,SA,1026,13,N/P
43220,Kimba,SA,1064,6,N/P
43360,Kingston (SA),SA,2406,16,1.49
43650,Light,SA,17028,146,1.58
43710,Lower Eyre,SA,6237,51,2.15
43790,Loxton Waikerie,SA,11949,85,1.65
44000,Maralinga Tjarutja,SA,102,0,N/P
44060,Marion,SA,99821,1009,1.35
44210,Mid Murray,SA,9593,63,1.86
44340,Mitcham,SA,70484,562,1.42
44550,Mount Barker,SA,43619,518,1.77
44620,Mount Gambier,SA,27888,267,1.71
44830,Mount Remarkable,SA,2873,15,3.05
45040,Murray Bridge,SA,23257,226,1.76
45090,Naracoorte Lucindale,SA,8901,74,2.08
45120,Northern Areas,SA,4667,39,2.67
45290,Norwood Payneham and St Peters,SA,40062,333,1.14
45340,Onkaparinga,SA,182821,1755,1.64
45400,Orroroo Carrieton,SA,890,6,N/P
45540,Peterborough,SA,1682,9,N/P
45680,Playford,SA,111135,1696,1.97
45890,Port Adelaide Enfield,SA,141042,1705,1.45
46090,Port Augusta,SA,14453,161,1.89
46300,Port Lincoln,SA,15037,143,1.91
46450,Port Pirie,SA,17637,177,1.90
46510,Prospect,SA,23309,210,1.19
46670,Renmark Paringa,SA,10173,82,1.75
46860,Robe,SA,1611,24,2.49
46970,Roxby Downs,SA,4089,63,1.88
47140,Salisbury,SA,150272,1819,1.67
47290,Southern Mallee,SA,2012,21,2.19
47490,Streaky Bay,SA,2278,22,2.28
47630,Tatiara,SA,7071,83,2.00
47700,Tea Tree Gully,SA,104437,950,1.54
47800,Coorong,SA,5614,40,2.20
47910,Tumby Bay,SA,2948,32,2.45
47980,Unley,SA,40327,287,1.11
48050,Victor Harbor,SA,17124,92,1.83
48130,Wakefield,SA,6985,53,2.11
48260,Walkerville,SA,8562,63,1.26
48340,Wattle Range,SA,12319,118,2.23
48410,West Torrens,SA,65738,653,1.21
48540,Whyalla,SA,21864,218,1.84
48640,Wudinna,SA,1168,17,N/P
48750,Yankalilla,SA,6186,35,1.73
48830,Yorke Peninsula,SA,12150,107,2.62
49399,Unincorporated SA,SA,3010,26,1.65
49499,No usual address (SA),SA,N/P,N/P,N/P
